submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
2646,1948,26,What a delight!,color,correct,right,1629220874685,target,256,male,62,l,German,15,images/main/feature/15/target/F_C_15_T_6_Xblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,35,main
2646,1327,26,What a delight!,shape,correct,right,1629220874685,target,256,male,76,l,German,30,images/main/feature/30/target/F_C_30_T_4_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,36,main
2646,2157,26,What a delight!,color,correct,right,1629220874685,no target,256,male,33,s,German,1,images/main/feature/1/no_target/F_C_1_NT_1.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,37,main
2646,877,26,What a delight!,shape,correct,right,1629220874685,target,256,male,44,l,German,5,images/main/feature/5/target/F_C_5_T_4_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,38,main
2646,1483,26,What a delight!,color,correct,right,1629220874685,no target,256,male,52,s,German,5,images/main/feature/5/no_target/F_C_5_NT_4.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,39,main
2646,1427,26,What a delight!,color,correct,right,1629220874685,target,256,male,41,l,German,5,images/main/feature/5/target/F_C_5_T_1_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,40,main
2646,1788,26,What a delight!,color,correct,right,1629220874685,no target,256,male,35,s,German,1,images/main/feature/1/no_target/F_C_1_NT_3.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,41,main
2646,2187,26,What a delight!,color,correct,right,1629220874685,no target,256,male,81,s,German,30,images/main/feature/30/no_target/F_C_30_NT_1.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,42,main
2646,2042,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,39,s,German,1,images/main/feature/1/no_target/F_C_1_NT_7.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,43,main
2646,1726,26,What a delight!,color,correct,right,1629220874685,no target,256,male,82,s,German,30,images/main/feature/30/no_target/F_C_30_NT_2.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,44,main
2646,1485,26,What a delight!,color,correct,right,1629220874685,no target,256,male,34,s,German,1,images/main/feature/1/no_target/F_C_1_NT_2.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,45,main
2646,1818,26,What a delight!,color,incorrect,right,1629220874685,target,256,male,30,s,German,1,images/main/feature/1/target/F_C_1_T_6_XBlue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,46,main
2646,1686,26,What a delight!,shape,correct,right,1629220874685,target,256,male,47,l,German,5,images/main/feature/5/target/F_C_5_T_7_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,47,main
2646,1145,26,What a delight!,shape,correct,right,1629220874685,target,256,male,28,l,German,1,images/main/feature/1/target/F_C_1_T_4_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,48,main
2646,2126,26,What a delight!,color,correct,right,1629220874685,target,256,male,29,l,German,1,images/main/feature/1/target/F_C_1_T_5_XBlue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,49,main
2646,1077,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,56,s,German,5,images/main/feature/5/no_target/F_C_5_NT_8.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,50,main
2646,947,26,What a delight!,shape,correct,right,1629220874685,target,256,male,32,l,German,1,images/main/feature/1/target/F_C_1_T_8_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,51,main
2646,954,26,What a delight!,color,correct,right,1629220874685,target,256,male,77,l,German,30,images/main/feature/30/target/F_C_30_T_5_Xblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,52,main
2646,1014,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,54,s,German,5,images/main/feature/5/no_target/F_C_5_NT_6.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,53,main
2646,806,26,What a delight!,color,correct,right,1629220874685,target,256,male,42,l,German,5,images/main/feature/5/target/F_C_5_T_2_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,54,main
2646,959,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,55,s,German,5,images/main/feature/5/no_target/F_C_5_NT_7.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,55,main
